-----------------------------------------------------------
Family information: Input_filtrado.txt
Log: reports/log_2w.txt
The number of families is 763
Root Family size : 1 ~ 30
Family size : 0 ~ 61
P-value: 0.01
Num of Threads: 10
Num of Random: 1000
Lambda Tree: (((((1,1)1,1)1,((1,1)1,1)1)1,1)1,((((1,1)1,((1,1)1,(1,1)1)1)1,1)1,((((((2,2)2,2)2,(2,(((2,2)2,2)2,2)2)2)2,((((((2,2)2,2)2,2)2,((((2,2)2,2)2,(2,(2,2)2)2)2,(((2,2)2,(2,2)2)2,(2,2)2)2)2)2,(2,2)2)2,(((2,(2,(2,2)2)2)2,2)2,(((2,2)2,((2,((2,2)2,2)2)2,((2,(2,2)2)2,(((2,2)2,2)2,((2,(2,2)2)2,2)2)2)2)2)2,((2,2)2,2)2)2)2)2)2,1)1,1)1)1)
Empirical Prior Estimation Result: (33 iterations)
Poisson lambda: 0.050571 & Score: 4075.133382
Lambda : 0.00115177786337,0.00200949649450 & Score: -19284.857236
.Lambda : 0.00120936675654,0.00200949649450 & Score: -19301.774651
.Lambda : 0.00115177786337,0.00210997131922 & Score: -19475.431738
.Lambda : 0.00120936675654,0.00190902166977 & Score: -19113.747667
.Lambda : 0.00123816120312,0.00180854684505 & Score: -18938.899429
.Lambda : 0.00118057230995,0.00180854684505 & Score: -18919.817723
.Lambda : 0.00116617508666,0.00170807202032 & Score: -18734.644870
.Lambda : 0.00125255842641,0.00150712237087 & Score: -18416.601535
.Lambda : 0.00130294870793,0.00125593530906 & Score: -18045.838165
.Lambda : 0.00123096259147,0.00115546048434 & Score: -17879.109913
.Lambda : 0.00122736328565,0.00082891730398 & Score: -17551.683313
.Lambda : 0.00136413690693,0.00037678059272 & Score: -17890.458262
.Lambda : 0.00128855148464,-0.00005023741236 & Score: -inf
.Lambda : 0.00129215079047,0.00027630576799 & Score: -18236.293751
.Lambda : 0.00129575009629,0.00060284894835 & Score: -17544.278409
.Lambda : 0.00126515599679,0.00104242630652 & Score: -17754.684975
.Lambda : 0.00125795738515,0.00038933994581 & Score: -17809.459558
.Lambda : 0.00125975703806,0.00055261153599 & Score: -17558.390820
.Lambda : 0.00126335634388,0.00087915471634 & Score: -17599.377367
.Lambda : 0.00126245651743,0.00079751892125 & Score: -17547.727846
.Lambda : 0.00133084332806,0.00057145056562 & Score: -17576.301088
.Lambda : 0.00130497331746,0.00063581725021 & Score: -17538.071002
.Lambda : 0.00133826689632,0.00044114727731 & Score: -17732.276699
.Lambda : 0.00131931430160,0.00053024018829 & Score: -17602.854038
.Lambda : 0.00130036170687,0.00061933309928 & Score: -17540.355614
.Lambda : 0.00128371491744,0.00071666808573 & Score: -17528.350987
.Lambda : 0.00128832652803,0.00073315223666 & Score: -17533.942447
.Lambda : 0.00126706812801,0.00081400307219 & Score: -17558.248066
.Lambda : 0.00127654442537,0.00076945661669 & Score: -17540.877463
.Lambda : 0.00128602072274,0.00072491016120 & Score: -17531.000095
.Lambda : 0.00129434411745,0.00067624266797 & Score: -17529.116015
.Lambda : 0.00129203831216,0.00066800059251 & Score: -17528.304788
.Lambda : 0.00129504710687,0.00063954580816 & Score: -17532.948484
.Lambda : 0.00128140911215,0.00070842601027 & Score: -17526.002420
.Lambda : 0.00127494160950,0.00072451768142 & Score: -17526.273445
.Lambda : 0.00128973250687,0.00065975851704 & Score: -17527.842591
.Lambda : 0.00127910330686,0.00070018393480 & Score: -17523.961946
.Lambda : 0.00127263580421,0.00071627560595 & Score: -17523.664310
.Lambda : 0.00126431240949,0.00076494309918 & Score: -17534.130155
.Lambda : 0.00127066743383,0.00073864695364 & Score: -17528.029532
.Lambda : 0.00127702245818,0.00071235080811 & Score: -17524.789269
.Lambda : 0.00128118415554,0.00068801706150 & Score: -17523.816323
.Lambda : 0.00127679750156,0.00069194185934 & Score: -17522.237385
.Lambda : 0.00127668502326,0.00068173738495 & Score: -17521.686568
.Lambda : 0.00126813667193,0.00070999592940 & Score: -17520.760814
.Lambda : 0.00126161293012,0.00072098536336 & Score: -17520.114992
.Lambda : 0.00126566214917,0.00068644714236 & Score: -17517.345877
.Lambda : 0.00126217532166,0.00067153291056 & Score: -17515.773761
.Lambda : 0.00124710322852,0.00071078088897 & Score: -17512.585708
.Lambda : 0.00123231233116,0.00072530264098 & Score: -17509.822593
.Lambda : 0.00123287472269,0.00067585018819 & Score: -17504.471063
.Lambda : 0.00121850561898,0.00065328260060 & Score: -17500.681030
.Lambda : 0.00118864262848,0.00070705233102 & Score: -17491.611838
.Lambda : 0.00115187628189,0.00072481204125 & Score: -17484.194055
.Lambda : 0.00113806956971,0.00065279200087 & Score: -17476.589114
.Lambda : 0.00109094818898,0.00061653668082 & Score: -17474.579616
.Lambda : 0.00102431885189,0.00068806612147 & Score: -17457.340984
.Lambda : 0.00092722546834,0.00070545788190 & Score: -17461.990267
.Lambda : 0.00096339075898,0.00057979076103 & Score: -17482.061454
.Lambda : 0.00115187628189,0.00072481204125 & Score: -17484.194055
.Lambda : 0.00110475490116,0.00068855672120 & Score: -17468.114608
.Lambda : 0.00103812556407,0.00076008616185 & Score: -17473.976658
.Lambda : 0.00109094818898,0.00061653668082 & Score: -17474.579616
.Lambda : 0.00107774253275,0.00065242405108 & Score: -17464.405956
.Lambda : 0.00099730648348,0.00065193345135 & Score: -17457.403612
.Lambda : 0.00094388280262,0.00068757552174 & Score: -17458.339800
.Lambda : 0.00107774253275,0.00065242405108 & Score: -17464.405956
.Lambda : 0.00104427760022,0.00066121191874 & Score: -17459.222278
